"Status";"Bestellnummer";"Name";"Notiz";"Produzent";"Herkunft";"Einheit";"Nettopreis";"MwSt";"Pfand";"Gebindegroeße";"geschu1";"geschu2";"Kategorie"
;421118;"Chinakohl 421118";;"Holzer";"Österreich";"500 g";0,9;10;;5;;;"Salat"
;421040;"Vogerlsalat 421040";;"Holzer";"Österreich";"1 kg";16,2;10;;1;;;"Salat"
;421322;"Vogerlsalat 421322";;"Holzer";"Österreich";"1 Tasse";1,95;10;;2;;;"Salat"
;421319;"Winterportulak 421319";;"Holzer";"Österreich";"1 Tasse";1,8;10;;2;;;"Salat"
;421028;"Zuckerhut 421028";;"Holzer";"Österreich";"500 g";1,5;10;;5;;;"Salat"
;423093;"Chinakohl 423093";;"Lamm";"Österreich";"500 g";0,85;10;;6;;;"Salat"
;423022;"Zuckerhut 423022";;"Lamm";"Österreich";"500 g";1;10;;6;;;"Salat"
;409106;"Zuckerhut 409106";;"Nachbars";"Österreich";"500 g";1,2;10;;8;;;"Salat"
;430050;"Eichblatt rot 430050";;"Achleitner";"Österreich";"1 Stk.";1,65;10;;12;;;"Salat"
;301776;"Salat Mischkiste saisonal 301776";;"Lutz";"Österreich";"1 Stk.";2,25;10;;9;;;"Salat"
;430110;"Kresse 430110";;"Achleitner";"Österreich";"1 Tasse";0,6;10;;9;;;"Kräuterbund"
;444170;"Kresse 444170";;"Biohandel";"Österreich";"1 Tasse";0,7;10;;4;;;"Kräuterbund"
;430726;"Brokkolisprossen 430726";;"Achleitner";"Österreich";"1 Tasse";1;10;;9;;;"Sprossen"
;430628;"Zuckermais vorgegart 430628";;"Achleitner";"Österreich";"1 Pkg.";2,95;10;;8;;;"Weiteres"
;424002;"Shiitake 424002";;"Berner";"Österreich";"1 Pkg.";9,2;10;;1;;;"Pilze"
;425003;"Champignon braun 425003";;"Holzinger";"Österreich";"1 Tasse";8,95;10;;1;;;"Pilze"
;425002;"Champignon braun 425002";;"Holzinger";"Österreich";"1 Tasse";8,55;10;;2;;;"Pilze"
;425001;"Champignon braun 425001";;"Holzinger";"Österreich";"1 Tasse";8,15;10;;4;;;"Pilze"
;425007;"Champignon braun 425007";;"Holzinger";"Österreich";"1 Tasse";1,85;10;;3;;;"Pilze"
;131002;"Zwiebel gelb 131002";;"Broschek";"Österreich";"1 kg";1,4;10;;5;;;"Zwiebel"
;131026;"Zwiebel gelb gross 131026";;"Broschek";"Österreich";"1 kg";1,35;10;;5;;;"Zwiebel"
;131012;"Zwiebel rot 131012";;"Broschek";"Österreich";"1 kg";1,5;10;;5;;;"Zwiebel"
;426330;"Porree 426330";;"Fuchsloch";"Waldviertel";"1 Sk.";1,95;10;;4;;;"Zwiebel"
;426320;"Zwiebel gelb 426320";;"Fuchsloch";"Waldviertel";"1 Sk.";8,75;10;;2;;;"Zwiebel"
;421073;"Porree 421073";;"Holzer";"Österreich";"500 g";1,85;10;;4;;;"Zwiebel"
;423101;"Zwiebel gelb 423101";;"Lamm";"Österreich";"1 kg";1,35;10;;5;;;"Zwiebel"
;430370;"Knoblauch trocken 430370";;"Achleitner";"Österreich";"1 kg";10;10;;3;;;"Zwiebel"
;444084;"Schalottenzwiebel 444084";;"Biohandel";"Österreich";"1 kg";4,5;10;;2,5;;;"Zwiebel"
;301232;"Knoblauch 301232";;"Lutz";"Österreich";"1 kg";10,2;10;;3;;;"Zwiebel"
;301432;"Lauch 301432";;"Lutz";"Österreich";"1 kg";4,6;10;;2,5;;;"Zwiebel"
;301222;"Zwiebel gelb 301222";;"Lutz";"Österreich";"1 kg";1,9;10;;5;;;"Zwiebel"
;421488;"Kürbis Crown Prince 421488";;"Holzer";"Österreich";"1 kg";2,1;10;;5;;;"Kürbisse"
;409276;"Helloween Kürbis ca. 409276";;"Nachbars";"Österreich";"1 kg";0,85;10;;6;;;"Kürbisse"
;409022;"Kürbis Mini Muskat 409022";;"Nachbars";"Österreich";"1 kg";1,3;10;;10;;;"Kürbisse"
;409021;"Kürbis Muskat 409021";;"Nachbars";"Österreich";"1 kg";1,2;10;;10;;;"Kürbisse"
;301340;"Kürbis Pattison 301340";;"Lutz";"Österreich";"1 kg";1,95;10;;5;;;"Kürbisse"
;421130;"Braunschweigerkraut 421130";;"Holzer";"Österreich";"1 kg";1,35;10;;5;;;"Kraut"
;421454;"Grünkohl rot 421454";;"Holzer";"Österreich";"1 Bd.";1,65;10;;2;;;"Kraut"
;421220;"Kohl 421220";;"Holzer";"Österreich";"500 g";0,9;10;;5;;;"Kraut"
;421541;"Kohlrabi Superschmelz 421541";;"Holzer";"Österreich";"500 g";1,15;10;;5;;;"Kraut"
;421193;"Kraut weiss 421193";;"Holzer";"Österreich";"1 kg";1,65;10;;5;;;"Kraut"
;423028;"Weiÿkraut eher kleiner 423028";;"Lamm";"Österreich";"1 kg";1,35;10;;5;;;"Kraut"
;409002;"Braunschweigerkraut 409002";;"Nachbars";"Österreich";"1 kg";1,3;10;;5;;;"Kraut"
;409037;"Kohlrabi Superschmelz 409037";;"Nachbars";"Österreich";"500 g";0,95;10;;12;;;"Kraut"
;444012;"Blaukraut 444012";;"Biohandel";"Österreich";"1 kg";2,6;10;;5;;;"Kraut"
;424038;"Rote Rübe Chioggia (Rarität) 424038";;"Berner";"Österreich";"1 kg";2,95;10;;2,5;;;"Wurzelgemüse"
;424034;"Sellerie 424034";;"Berner";"Österreich";"500 g";1,35;10;;5;;;"Wurzelgemüse"
;426786;"Karotten 426786";;"Fuchsloch";"Waldviertel";"1 Sk.";7,65;10;;2;;;"Wurzelgemüse"
